"Rank","Root Domain","Domain Analysis","Linking Root Domains","Domain Authority"
"1","youtube.com","View analysis","21,415,721","100"
"2","apple.com","View analysis","6,218,171","100"
"3","www.google.com","View analysis","13,565,125","100"
"4","www.blogger.com","View analysis","27,642,209","99"
"5","support.google.com","View analysis","4,965,378","99"
"6","play.google.com","View analysis","3,694,860","99"
"7","microsoft.com","View analysis","5,046,926","99"
"8","linkedin.com","View analysis","11,088,898","99"
"9","wordpress.org","View analysis","11,445,854","98"
"10","cloudflare.com","View analysis","5,940,892","98"
"11","mozilla.org","View analysis","2,224,961","98"
"12","youtu.be","View analysis","4,843,483","98"
"13","maps.google.com","View analysis","4,974,899","98"
"14","docs.google.com","View analysis","3,002,319","98"
"15","en.wikipedia.org","View analysis","6,757,292","98"
"16","adobe.com","View analysis","2,825,554","97"
"17","bp.blogspot.com","View analysis","17,019,803","97"
"18","accounts.google.com","View analysis","2,543,413","97"
"19","drive.google.com","View analysis","2,227,683","97"
"20","whatsapp.com","View analysis","2,808,775","97"
"21","googleusercontent.com","View analysis","2,639,927","97"
"22","plus.google.com","View analysis","11,661,034","97"
"23","sites.google.com","View analysis","2,066,046","97"
"24","europa.eu","View analysis","2,018,513","97"
"25","es.wikipedia.org","View analysis","929,827","96"
"26","uol.com.br","View analysis","661,567","96"
"27","facebook.com","View analysis","57,207,234","96"
"28","github.com","View analysis","2,585,841","96"
"29","amazon.com","View analysis","4,801,417","96"
"30","istockphoto.com","View analysis","3,381,690","96"
"31","vk.com","View analysis","1,711,108","96"
"32","vimeo.com","View analysis","3,480,294","96"
"33","t.me","View analysis","868,849","96"
"34","search.google.com","View analysis","1,230,913","95"
"35","cnn.com","View analysis","1,543,371","95"
"36","theguardian.com","View analysis","1,524,067","95"
"37","feedburner.com","View analysis","1,773,948","95"
"38","live.com","View analysis","859,395","95"
"39","google.de","View analysis","1,125,411","95"
"40","slideshare.net","View analysis","991,473","95"
"41","dailymotion.com","View analysis","1,129,387","95"
"42","google.es","View analysis","469,445","95"
"43","paypal.com","View analysis","1,069,337","95"
"44","who.int","View analysis","1,962,355","95"
"45","nih.gov","View analysis","1,319,011","95"
"46","issuu.com","View analysis","955,324","95"
"47","developers.google.com","View analysis","1,047,239","95"
"48","files.wordpress.com","View analysis","7,491,899","95"
"49","bbc.co.uk","View analysis","1,696,101","95"
"50","google.com.br","View analysis","293,041","95"
"51","hugedomains.com","View analysis","9,124,928","95"
"52","enable-javascript.com","View analysis","7,705,171","95"
"53","wikimedia.org","View analysis","1,817,444","95"
"54","policies.google.com","View analysis","2,032,509","95"
"55","creativecommons.org","View analysis","1,687,819","95"
"56","news.google.com","View analysis","747,438","95"
"57","bbc.com","View analysis","836,369","95"
"58","gstatic.com","View analysis","611,232","95"
"59","youronlinechoices.com","View analysis","555,004","95"
"60","brandbucket.com","View analysis","11,134,344","95"
"61","w3.org","View analysis","1,135,869","95"
"62","dropbox.com","View analysis","1,056,536","95"
"63","nytimes.com","View analysis","2,116,721","95"
"64","globo.com","View analysis","436,786","95"
"65","mail.google.com","View analysis","483,556","95"
"66","tools.google.com","View analysis","1,648,614","95"
"67","dan.com","View analysis","2,295,718","95"
"68","jimdofree.com","View analysis","1,701,128","95"
"69","medium.com","View analysis","1,537,255","95"
"70","www.yahoo.com","View analysis","1,298,871","95"
"71","opera.com","View analysis","874,497","95"
"72","reuters.com","View analysis","883,699","95"
"73","google.co.jp","View analysis","650,046","95"
"74","imdb.com","View analysis","1,469,679","95"
"75","pt.wikipedia.org","View analysis","405,948","95"
"76","fr.wikipedia.org","View analysis","616,465","95"
"77","line.me","View analysis","763,087","95"
"78","forbes.com","View analysis","1,431,021","95"
"79","www.weebly.com","View analysis","4,617,789","95"
"80","myspace.com","View analysis","1,384,129","95"
"81","huffpost.com","View analysis","1,173,860","94"
"82","de.wikipedia.org","View analysis","656,086","94"
"83","archive.org","View analysis","1,095,097","94"
"84","wired.com","View analysis","648,148","94"
"85","namecheap.com","View analysis","1,089,759","94"
"86","t.co","View analysis","2,061,275","94"
"87","pinterest.com","View analysis","8,364,368","94"
"88","indiatimes.com","View analysis","426,354","94"
"89","wa.me","View analysis","913,871","94"
"90","cpanel.net","View analysis","1,526,964","94"
"91","booking.com","View analysis","381,307","94"
"92","goo.gl","View analysis","4,516,749","94"
